ticker,date,filing_count,form_10k_count,form_10q_count,form_8k_count,filing_count_30d,filing_count_90d,form_8k_count_30d,form_10q_count_180d,form_10k_count_365d,days_since_last_filing,days_since_last_8k
ORCL,2020-04-28,0,0,0,0,1.0,3.0,1.0,3.0,1.0,27.0,27.0
ORCL,2020-04-29,0,0,0,0,1.0,3.0,1.0,3.0,1.0,28.0,28.0
ORCL,2020-04-30,0,0,0,0,1.0,3.0,1.0,3.0,1.0,29.0,29.0
ORCL,2020-05-01,0,0,0,0,1.0,3.0,1.0,3.0,1.0,30.0,30.0
ORCL,2020-05-04,0,0,0,0,1.0,3.0,1.0,3.0,1.0,33.0,33.0
ORCL,2020-05-05,0,0,0,0,1.0,3.0,1.0,3.0,1.0,34.0,34.0
ORCL,2020-05-06,0,0,0,0,1.0,3.0,1.0,3.0,1.0,35.0,35.0
ORCL,2020-05-07,0,0,0,0,1.0,3.0,1.0,3.0,1.0,36.0,36.0
ORCL,2020-05-08,0,0,0,0,1.0,3.0,1.0,3.0,1.0,37.0,37.0
ORCL,2020-05-11,0,0,0,0,1.0,3.0,1.0,3.0,1.0,40.0,40.0
ORCL,2020-05-12,0,0,0,0,1.0,3.0,1.0,3.0,1.0,41.0,41.0
ORCL,2020-05-13,0,0,0,0,1.0,3.0,1.0,3.0,1.0,42.0,42.0
ORCL,2020-05-14,0,0,0,0,0.0,3.0,0.0,3.0,1.0,43.0,43.0
ORCL,2020-05-15,0,0,0,0,0.0,3.0,0.0,3.0,1.0,44.0,44.0
ORCL,2020-05-18,0,0,0,0,0.0,3.0,0.0,3.0,1.0,47.0,47.0
ORCL,2020-05-19,0,0,0,0,0.0,3.0,0.0,3.0,1.0,48.0,48.0
ORCL,2020-05-20,0,0,0,0,0.0,3.0,0.0,3.0,1.0,49.0,49.0
ORCL,2020-05-21,0,0,0,0,0.0,3.0,0.0,3.0,1.0,50.0,50.0
ORCL,2020-05-22,0,0,0,0,0.0,3.0,0.0,3.0,1.0,51.0,51.0
ORCL,2020-05-26,0,0,0,0,0.0,3.0,0.0,3.0,1.0,55.0,55.0
ORCL,2020-05-27,0,0,0,0,0.0,3.0,0.0,3.0,1.0,56.0,56.0
ORCL,2020-05-28,0,0,0,0,0.0,3.0,0.0,3.0,1.0,57.0,57.0
ORCL,2020-05-29,0,0,0,0,0.0,3.0,0.0,3.0,1.0,58.0,58.0
ORCL,2020-06-01,0,0,0,0,0.0,3.0,0.0,3.0,1.0,61.0,61.0
ORCL,2020-06-02,0,0,0,0,0.0,3.0,0.0,2.0,1.0,62.0,62.0
ORCL,2020-06-03,0,0,0,0,0.0,3.0,0.0,2.0,1.0,63.0,63.0
ORCL,2020-06-04,0,0,0,0,0.0,3.0,0.0,2.0,1.0,64.0,64.0
ORCL,2020-06-05,0,0,0,0,0.0,3.0,0.0,2.0,1.0,65.0,65.0
ORCL,2020-06-08,0,0,0,0,0.0,3.0,0.0,2.0,1.0,68.0,68.0
ORCL,2020-06-09,0,0,0,0,0.0,3.0,0.0,2.0,1.0,69.0,69.0
ORCL,2020-06-10,0,0,0,0,0.0,3.0,0.0,2.0,1.0,70.0,70.0
ORCL,2020-06-11,0,0,0,0,0.0,3.0,0.0,2.0,1.0,71.0,71.0
ORCL,2020-06-12,0,0,0,0,0.0,3.0,0.0,2.0,1.0,72.0,72.0
ORCL,2020-06-15,0,0,0,0,0.0,3.0,0.0,2.0,1.0,75.0,75.0
ORCL,2020-06-16,1,0,0,1,1.0,4.0,1.0,2.0,1.0,0.0,0.0
ORCL,2020-06-17,0,0,0,0,1.0,4.0,1.0,2.0,1.0,1.0,1.0
ORCL,2020-06-18,0,0,0,0,1.0,4.0,1.0,2.0,1.0,2.0,2.0
ORCL,2020-06-19,0,0,0,0,1.0,4.0,1.0,2.0,1.0,3.0,3.0
ORCL,2020-06-22,1,1,0,0,2.0,5.0,1.0,2.0,2.0,0.0,6.0
ORCL,2020-06-23,0,0,0,0,2.0,5.0,1.0,2.0,2.0,1.0,7.0
ORCL,2020-06-24,0,0,0,0,2.0,5.0,1.0,2.0,2.0,2.0,8.0
ORCL,2020-06-25,0,0,0,0,2.0,5.0,1.0,2.0,2.0,3.0,9.0
