ticker,date,open,high,low,close,volume,source,collected_at
INTC,2021-07-26,48.3291,49.9123,48.2827,49.7012,35929826.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-27,48.6134,48.686,47.8711,48.668,43575403.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-28,48.5305,49.3454,48.4477,48.5665,31119324.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-29,48.942,49.51,48.796,49.1436,18452307.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-07-30,49.0983,49.3264,48.732,49.1607,17992340.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-02,49.4084,49.8483,48.9929,49.1257,19776085.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-03,49.3169,49.5637,48.7414,49.4734,17894258.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-04,49.6468,49.8219,49.1436,49.3264,19245708.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-05,49.7295,49.7558,49.3518,49.6362,16621808.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-06,49.6099,49.8587,49.4904,49.6645,20905926.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-09,49.8124,50.1149,49.5816,49.7842,15927108.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-10,49.9594,50.0931,49.2868,49.6833,17605116.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-11,49.9784,50.0706,49.5911,49.868,20183702.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-12,49.8944,49.9038,49.0513,49.3141,16365243.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-13,49.2775,49.3284,48.8686,49.2689,16590385.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-16,49.0288,49.2689,48.8168,49.251,19208878.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-17,48.9742,48.9816,48.098,48.5314,23901194.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-18,48.4487,48.8449,47.9972,48.0718,16352263.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-19,47.9463,48.5134,47.5095,48.3016,24970039.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-20,48.0435,48.2459,47.3625,47.906,27932801.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-23,48.439,49.3095,48.3383,49.0288,26030598.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-24,49.3284,49.7108,49.1032,49.5627,22092331.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-25,49.8124,49.951,49.4912,49.5627,16337770.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-26,49.5035,49.5035,48.7924,48.9365,21246788.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-27,49.1492,49.6833,48.7444,49.6362,17940893.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-30,49.9784,50.5395,49.5167,49.6833,15830689.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-08-31,50.143,50.1995,49.4244,49.7936,24265111.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-01,49.8397,49.8803,49.3048,49.4338,20210009.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-02,49.5542,49.6362,49.14,49.4904,17240706.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-03,49.2229,49.8124,49.1117,49.2868,14627129.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-07,49.3424,49.6918,49.2229,49.4158,15107240.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-08,49.4904,49.6645,48.8075,49.3424,19797504.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-09,49.4244,49.6362,49.1314,49.1852,14652149.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-10,49.6006,50.6405,49.5627,49.5911,22066165.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-13,50.3003,51.1057,50.1149,50.6499,24579027.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-14,51.0002,51.0643,49.9876,50.2184,23963962.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-15,50.356,50.7977,50.1241,50.7694,20406683.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-16,50.5303,50.613,49.9594,50.5019,21565006.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-17,50.2816,50.2816,49.4291,49.9784,38388899.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-20,49.0137,49.2775,48.1914,48.7979,38055238.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-21,49.0024,49.2322,48.6605,48.6972,19508546.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-22,49.1852,49.6193,48.8168,49.2775,20187307.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-23,49.5081,50.014,49.3706,49.7654,17885896.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-24,49.5307,50.1269,49.4904,49.9415,14088032.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-27,49.6833,50.5395,49.5723,50.3464,15090888.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-28,49.9038,50.2816,49.7012,49.739,26806932.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-29,49.739,49.7842,48.9835,49.2689,22272025.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-09-30,49.5167,49.72,49.0561,49.0749,22293481.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-01,49.4112,49.835,48.864,49.6099,21599762.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-04,49.674,50.0424,48.8903,49.251,29697023.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-05,49.3235,50.0517,49.2558,49.6918,19682728.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-06,49.2596,49.8028,48.8826,49.72,21778332.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-07,50.0318,50.645,49.8493,49.9038,22478450.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-08,50.2439,50.2721,49.462,49.5627,17444778.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-11,49.5627,50.1149,49.2039,49.2229,15632479.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-12,49.3424,49.4808,47.906,48.053,35593349.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-13,48.2459,48.4287,47.7723,48.1357,20121990.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-14,48.7208,49.739,48.5683,49.6458,28864659.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-15,49.9226,50.19,49.5627,50.1619,27393007.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-18,49.9085,50.2532,49.4808,50.1713,24327507.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-19,50.3155,50.8618,50.0799,50.8521,19968826.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-20,50.8901,51.1057,50.7325,51.0002,18294038.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-21,50.5904,51.6453,50.5019,51.5804,41680279.0,stooq,2026-05-21 19:51:15.904771+00:00
INTC,2021-10-22,46.413,46.5601,45.2619,45.5569,119394550.0,stooq,2026-05-21 19:51:15.904771+00:00
