ticker,cik,accession_number,filing_date,report_date,form_type,source,collected_at
INTC,50863,0000050863-21-000030,2021-07-23,2021-06-26,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-224438,2021-07-26,2021-07-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-244840,2021-08-12,2021-08-10,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-293329,2021-10-06,2021-10-04,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000037,2021-10-21,2021-10-18,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-21-000038,2021-10-22,2021-09-25,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-350395,2021-12-07,2021-12-06,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-21-369552,2021-12-30,2021-12-29,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-005658,2022-01-10,2022-01-05,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000006,2022-01-26,2022-01-26,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000007,2022-01-27,2021-12-25,10-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-032684,2022-02-09,2022-02-05,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-043022,2022-02-15,2022-02-15,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-045883,2022-02-18,2022-02-17,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000019,2022-04-28,2022-04-28,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000020,2022-04-29,2022-04-02,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-151752,2022-05-16,2022-05-12,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0001193125-22-178756,2022-06-22,2022-06-17,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000029,2022-07-28,2022-07-28,8-K,sec_edgar,2026-08-06 23:15:34.711786+00:00
INTC,50863,0000050863-22-000030,2022-07-29,2022-07-02,10-Q,sec_edgar,2026-08-06 23:15:34.711786+00:00
