ticker,reference_date,fiscal_year,fiscal_period,assets,cash_and_equivalents,net_income,operating_income,rd_expense,revenue,stockholders_equity,operating_margin,net_margin,cash_to_assets,equity_to_assets,rd_to_revenue,revenue_growth_qoq,revenue_growth_yoy,net_income_growth_qoq,net_income_growth_yoy,assets_growth_qoq
MSFT,2019-06-30,2020.0,Q1,286556000000.0,11356000000.0,39240000000.0,42959000000.0,16876000000.0,125843000000.0,102330000000.0,0.3413698020549415,0.3118171054409065,0.03962925222295119,0.35710297463672025,0.13410360528595155,0.0,3.1164175198717743,0.0,3.454535134521512,0.0
MSFT,2019-09-30,2021.0,Q1,278955000000.0,13117000000.0,10678000000.0,12686000000.0,4565000000.0,33055000000.0,106061000000.0,0.38378460142187265,0.3230373619724701,0.047021921098385044,0.3802082773207148,0.13810316139767054,-0.7373314367902863,-0.7373314367902863,-0.7278797145769622,-0.7278797145769622,-0.026525356300339253
MSFT,2019-12-31,2021.0,Q2,282794000000.0,8864000000.0,22327000000.0,26577000000.0,9168000000.0,69961000000.0,110109000000.0,0.3798830777147268,0.31913494661311304,0.03134437081409082,0.38936116042065955,0.13104443904461058,0.0,1.116502798366359,0.0,1.0909346319535493,0.0
MSFT,2020-03-31,2021.0,Q3,285449000000.0,11710000000.0,33079000000.0,39552000000.0,14055000000.0,104982000000.0,114501000000.0,0.3767503000514374,0.3150921110285573,0.04102308993900837,0.40112594544034136,0.13388009373035378,0.0,0.5005788939552036,0.0,0.4815694002776907,0.0
MSFT,2020-06-30,2021.0,Q3,301311000000.0,13576000000.0,44281000000.0,52959000000.0,19269000000.0,143015000000.0,118304000000.0,0.37030381428521486,0.3096248645247002,0.04505643670493278,0.39263086976579015,0.1347341187987274,0.3622811529595549,1.0442103457640686,0.33864385259530216,0.9832937698750392,0.0555685954408669
MSFT,2020-09-30,2022.0,Q1,301001000000.0,17205000000.0,13893000000.0,15876000000.0,4926000000.0,37154000000.0,123392000000.0,0.4273025784572321,0.37393012865371156,0.057159278540602855,0.4099388374125003,0.13258330193249718,0.0,-0.7402090689787785,0.0,-0.6862536979743005,0.0
MSFT,2020-12-31,2022.0,Q2,304137000000.0,14432000000.0,29356000000.0,33773000000.0,9825000000.0,80230000000.0,130236000000.0,0.42095226224604265,0.3658980431260127,0.047452299457152534,0.4282149163041656,0.12246042627446092,0.0,-0.43900989406705593,0.0,-0.3370520087622231,0.0
MSFT,2021-03-31,2022.0,Q3,308879000000.0,13702000000.0,44813000000.0,50821000000.0,15029000000.0,121936000000.0,134505000000.0,0.4167842146699908,0.36751246555570133,0.04436041297724999,0.4354617827693045,0.12325318199711324,0.0,2.2819077353716963,0.0,2.225581227956525,0.0
MSFT,2021-06-30,2022.0,Q3,333779000000.0,14224000000.0,61271000000.0,69916000000.0,20716000000.0,168088000000.0,141988000000.0,0.415948788729713,0.36451739564989766,0.04261502371329533,0.4253952465553555,0.12324496692208843,0.0,1.0950766546179733,0.0,1.0871712767407002,0.0
MSFT,2021-09-30,2023.0,Q1,335418000000.0,19165000000.0,20505000000.0,20238000000.0,5599000000.0,45317000000.0,151978000000.0,0.4465873733918838,0.45247920206545006,0.05713766106768271,0.4531003106571502,0.12355186795242404,0.0,-0.7303971729094284,0.0,-0.6653392306311305,0.0
MSFT,2021-12-31,2023.0,Q2,340389000000.0,20604000000.0,39270000000.0,42485000000.0,11357000000.0,97045000000.0,160010000000.0,0.4377865938482147,0.4046576330568293,0.060530745705648537,0.47007982044073104,0.11702818280179299,1.1414700884877638,-0.4226536100138023,0.9151426481346012,-0.3590768879241403,0.01482031375775894
MSFT,2022-03-31,2023.0,Q3,344607000000.0,12498000000.0,55998000000.0,62849000000.0,17663000000.0,146405000000.0,162924000000.0,0.42928178682422047,0.3824869369215532,0.03626740025594373,0.4727820386701373,0.12064478672176497,0.5086300170024216,2.2306860560054727,0.4259740259740259,1.730943672275055,0.012391704784819657
MSFT,2022-06-30,2023.0,Q1,364840000000.0,13931000000.0,72738000000.0,83383000000.0,24512000000.0,198270000000.0,166542000000.0,0.4205527815604983,0.3668633681343622,0.03818386141870409,0.4564795526806271,0.12362939426035205,0.0,0.35425702674089,0.0,0.2989392478302797,0.0
